,country,Region,totalpap,totalpap_cap,totalnpap,totalnpap_cap,totalproviders,totalproviders_cap,physicians2015_cap,physiciancap_diff
139,Togo,African Region,10.0,0.0,150.0,2.0,160.0,2.0,0.0,0.0
140,Tokelau,Western Pacific Region,1.0,,0.0,,1.0,,,
141,Tonga,Western Pacific Region,2.0,2.0,2.0,2.0,4.0,4.0,5.0,0.0
142,Trinidad and Tobago,Region of the Americas,177.0,13.0,0.0,0.0,177.0,13.0,6.0,2.0
143,Tunisia,Eastern Mediterranean Region,52.0,0.0,1733.0,14.0,1785.0,15.0,5.0,0.0
144,Turkey,European Region,10598.0,12.0,2162.0,3.0,12760.0,15.0,9.0,1.0
145,Tuvalu,Western Pacific Region,1.0,8.0,0.0,0.0,1.0,8.0,20.0,0.0
146,Uganda,African Region,38.0,0.0,500.0,1.0,538.0,1.0,0.0,0.0
147,United Kingdom,European Region,9645.0,14.0,173.0,0.0,9818.0,14.0,18.0,1.0
148,United States of America,Region of the Americas,26625.0,8.0,28086.0,8.0,54711.0,16.0,21.0,0.0
149,Uruguay,Region of the Americas,422.0,12.0,0.0,0.0,422.0,12.0,14.0,1.0
150,Vanuatu,Western Pacific Region,3.0,1.0,8.0,2.0,11.0,3.0,2.0,1.0
151,Venezuela,Region of the Americas,800.0,3.0,0.0,0.0,800.0,3.0,2.0,1.0
152,Viet Nam,Western Pacific Region,1500.0,2.0,0.0,0.0,1500.0,2.0,1.0,1.0
153,Yemen,Eastern Mediterranean Region,95.0,0.0,0.0,0.0,95.0,0.0,0.0,5.0
154,Zambia,African Region,62.0,0.0,33.0,0.0,96.0,0.0,0.0,1.0
155,Zimbabwe,African Region,73.0,0.0,0.0,0.0,73.0,0.0,1.0,1.0
